Name,Funding,Department
Biobased Market Development and Access Grant Program,0,Department of Agriculture
Bioenergy Program for Advanced Biofuels ,7000000,Department of Agriculture
Biofuel Producer Program,0,Department of Agriculture
Biomass Crop Assistance Program ,59000,Department of Agriculture
Biomass Research and Development Initiative Competitive Grants Program (BRDI),0,Department of Agriculture
Bioproduct Pilot Program,0,Department of Agriculture
Biorefnery Assistance ,250000000,Department of Agriculture
Biotechnology Risk Assessment Research ,6000000,Department of Agriculture
Bipartisan Infrastructure Act Nursery Vegetation ,106000,Department of Agriculture
"Bipartisan Infrastructure Law State, Private & Tribal Agreements ",4000000,Department of Agriculture
Bipartisan Infrastructure Law: Removal and Production of Flammable Vegetation to Produce Biochar and Innovative Wood Products ,5000000,Department of Agriculture
Blue Ribbon,0,Department of Agriculture
Boll Weevil Eradication Loan Program,0,Department of Agriculture
Business and Industry Guaranteed Loans ,1800000000,Department of Agriculture
Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA) ,6000000,Department of Agriculture
Census of Agriculture ,33000000,Department of Agriculture
Centers of Excellence at 1890 Institutions ,10000000,Department of Agriculture
Child and Adult Care Food Program ,4099999999,Department of Agriculture
Child Nutrition Discretionary Grants Limited Availability ,18000000,Department of Agriculture
Child Nutrition-Technology Innovation Grant ,39000000,Department of Agriculture
"Children, Youth and Families At-Risk ",8000000,Department of Agriculture
CNMI Nutrition Assistance ,35000000,Department of Agriculture
Cochran Fellowship Program ,2000000,Department of Agriculture
Collaborative Forest Restoration,0,Department of Agriculture
Commodity Container Assistance Program,0,Department of Agriculture
Commodity Credit Corporation (CCC) Funding to Alleviate Emergency Supply Chain Disruption in the Commodity Supplemental Food Program (CSFP) ,28000000,Department of Agriculture
Commodity Credit Corporation (CCC) Funding to Alleviate Emergency Supply Chain Disruption in the Food Distribution Program on Indian Reservation ,12000000,Department of Agriculture
Commodity Loans and Loan Defciency Payments ,5400000000,Department of Agriculture
Commodity Storage Assistance Program,0,Department of Agriculture
Commodity Supplemental Food Program ,389000000,Department of Agriculture
Community Connect Grant Program ,67000000,Department of Agriculture
Community Facilities Loans and Grants ,1100000000,Department of Agriculture
Community Food Projects ,5000000,Department of Agriculture
Community Forest and Open Space Conservation Program (CFP) ,7000000,Department of Agriculture
Community Project Funds: Congressionally Directed Spending (2022 funding) ,4000000,Department of Agriculture
Community Project Funds: Congressionally Directed Spending (2023 funding) ,21000000,Department of Agriculture
Community Wood Energy and Wood Innovation Program ,19000000,Department of Agriculture
Conservation and Urban Resources Extension,0,Department of Agriculture
Conservation Loans,0,Department of Agriculture
"Conservation Outreach, Education and Technical Assistance ",80000000,Department of Agriculture
Conservation Reserve Program ,1900000000,Department of Agriculture
Conservation Stewardship Program ,1400000000,Department of Agriculture
Consumer Data and Nutrition Research,0,Department of Agriculture
Cooperative Agreements with States for Intrastate Meat and Poultry Inspection ,48000000,Department of Agriculture
Cooperative Extension Service ,16000000,Department of Agriculture
Cooperative Fire Protection Agreement ,3000000,Department of Agriculture
Cooperative Forest Road Agreements ,4000000,Department of Agriculture
Cooperative Forestry Assistance ,331000000,Department of Agriculture
Cooperative Forestry Research ,35000000,Department of Agriculture
Coronavirus Food Assistance Program 1 ,15000000,Department of Agriculture
Coronavirus Food Assistance Program 2 ,115000,Department of Agriculture
Crop Insurance ,21300000000,Department of Agriculture
Crop Protection and Pest Management Competitive Grants Program ,20000000,Department of Agriculture
Dairy Business Innovation Initiatives ,25000000,Department of Agriculture
Dairy Indemnity Payment Program ,1000000,Department of Agriculture
Dairy Margin Coverage ,36000000,Department of Agriculture
Delta Health Care Services Grant Program ,3000000,Department of Agriculture
Denali Commission Grants and Loans ,2000000,Department of Agriculture
Discrimination Financial Assistance Program ,2000000000,Department of Agriculture
Distance Education Grants for Institutions of Higher Education in Insular Areas ,2000000,Department of Agriculture
Distance Learning and Telemedicine Loans and Grants ,83000000,Department of Agriculture
DSA COVID Relief Program,0,Department of Agriculture
"Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program ",364000000,Department of Agriculture
Emergency Citrus Disease Research and Extension Program ,23000000,Department of Agriculture
Emergency Community Water Assistance Grants ,14000000,Department of Agriculture
Emergency Conservation Program ,100000000,Department of Agriculture
Emergency Food Assistance Program (Administrative Costs) ,152000000,Department of Agriculture
Emergency Food Assistance Program (Food Commodities) ,462000000,Department of Agriculture
Emergency Forest Restoration Program ,100000000,Department of Agriculture
Emergency Grain Storage Facility Assistance Program ,50000000,Department of Agriculture
Emergency Livestock Relief Program ,869000,Department of Agriculture
Emergency Livestock Relief Program 2022 ,2000000,Department of Agriculture
Emergency Loans ,8000000,Department of Agriculture
Emergency Relief Program ,486000000,Department of Agriculture
Emergency Relief Program 2022 ,2100000000,Department of Agriculture
Emergency Relief Program Outreach Education and Technical Assistance,0,Department of Agriculture
Emergency Watershed Protection Program ,448000000,Department of Agriculture
Emergency Watershed Protection Program - Disaster Relief Appropriations Act,0,Department of Agriculture
Emergency Watershed Protection Program - Floodplain Easements Disaster Relief Appropriations Act ,245000000,Department of Agriculture
Emerging Markets Program ,8000000,Department of Agriculture
Enhancing Agricultural Opportunities for Military Veterans Competitive Grants Program ,3000000,Department of Agriculture
Environmental Quality Incentives Program ,3600000000,Department of Agriculture
Equipment Grants Program (EGP) ,5000000,Department of Agriculture
Expanded Food and Nutrition Education Program ,69000000,Department of Agriculture
Export Guarantee Program ,2700000000,Department of Agriculture
Extension Collaborative on Immunization Teaching & Engagement ,6000000,Department of Agriculture
"Extension Services at 1890 Colleges and Tuskegee University, West Virginia State College, and Central State University ",69000000,Department of Agriculture
Facility Improvements at 1890 Facilities (Sec. 1447) ,21000000,Department of Agriculture
Faculty Exchange Program ,986000,Department of Agriculture
Farm and Ranch Lands Protection Program ,15000000,Department of Agriculture
Farm and Ranch Stress Assistance Network Competitive Grants Program ,10000000,Department of Agriculture
Farm Business Management and Benchmarking Competitive Grants Program ,2000000,Department of Agriculture
Farm Labor Housing Loans and Grants ,21000000,Department of Agriculture
Farm Labor Housing Technical Assistance Grants ,2000000,Department of Agriculture
Farm Labor Stabilization and Protection Pilot Grant Program ,50000000,Department of Agriculture
Farm Loan Borrower Relief Program ,888000000,Department of Agriculture
Farm of the Future,0,Department of Agriculture
Farm Operating Loans and Loan Guarantees ,1800000000,Department of Agriculture
Farm Ownership Loans and Loan Guarantees ,3500000000,Department of Agriculture
Farm Service Agency Taxpayer Outreach Education and Technical Assistance (American Rescue Plan Assistance) ,5000000,Department of Agriculture
Farm Storage Facility Loans ,312000000,Department of Agriculture
Farm to School Grant Program ,14000000,Department of Agriculture
Farm to School State Formula Grant,0,Department of Agriculture
Farmers Market Supplemental Nutrition Assistance Program Support Grants ,4000000,Department of Agriculture
Farmers Market and Local Food Promotion Program ,31000000,Department of Agriculture
Federal-State Marketing Improvement Program ,1000000,Department of Agriculture
Feral Swine Eradication and Control Pilot Program ,6000000,Department of Agriculture
Fertilizer Product Expansion Program ,271000000,Department of Agriculture
FNS Food Safety Grants ,1000000,Department of Agriculture
Food and Agriculture Defense Initiative (FADI) ,8000000,Department of Agriculture
Food and Agriculture Service Learning Program ,2000000,Department of Agriculture
Food Animal Residue Avoidance Databank ,2000000,Department of Agriculture
Food Distribution Program on Indian Reservations ,165000000,Department of Agriculture
Food Distribution Program on Indian Reservations (FDPIR) Nutrition Paraprofessional Training,0,Department of Agriculture
Food Distribution Program on Indian Reservations Nutrition Education Grants ,752000,Department of Agriculture
Food for Education ,248000000,Department of Agriculture
Food for Opportunity,0,Department of Agriculture
Food for Progress ,219000000,Department of Agriculture
Food Loss and Waste Reduction,0,Department of Agriculture
Food Safety Certifcation for Specialty Crops Program ,416000,Department of Agriculture
Food Safety Cooperative Agreements ,2000000,Department of Agriculture
Food Safety Outreach Program ,10000000,Department of Agriculture
Food Supply Chain Guaranteed Loan Program,0,Department of Agriculture
Foreign Market Development Cooperator Program ,35000000,Department of Agriculture
Forest and Grassland Collaboratives,0,Department of Agriculture
Forest Health Protection ,39000000,Department of Agriculture
Forest Legacy Program ,68000000,Department of Agriculture
Forest Service 638 Authority for Tribes ,435000,Department of Agriculture
Forest Service Reverse 911 Grant Program,0,Department of Agriculture
Forest Stewardship Program ,15000000,Department of Agriculture
Forestry Research ,12000000,Department of Agriculture
Fresh Fruit and Vegetable Program ,253000000,Department of Agriculture
From Learning to Leading: Cultivating the Next Generation of Diverse Food and Agriculture Professionals,0,Department of Agriculture
"FSA Conservation Reserve Program Transition Incentive Program: Outreach, Technical Assistance and Research Agreements ",2000000,Department of Agriculture
Good Neighbor Authority ,18000000,Department of Agriculture
Grant Program to Establish a Fund for Financing Water and Wastewater Projects ,1000000,Department of Agriculture
"Grants for Agricultural Research, Special Research Grants ",33000000,Department of Agriculture
Grassland Reserve Program ,708000,Department of Agriculture
Great American Outdoors Act Deferred Maintenance Program ,20000000,Department of Agriculture
Grey Towers Cooperative Authorities ,4000,Department of Agriculture
Gulf Coast Ecosystem Restoration Council Comprehensive Plan Component Program ,4000000,Department of Agriculture
Gus Schumacher Nutrition Incentive Program ,49000000,Department of Agriculture
Healthy Food Financing Initiative ,3000000,Department of Agriculture
Healthy Forests Reserve Program (HFRP) ,20000000,Department of Agriculture
Heirs Property Relending Program ,5000000,Department of Agriculture
Higher Blends Infrastructure Incentive Program ,184000000,Department of Agriculture
Higher Education National Needs Graduate Fellowship Grants ,3000000,Department of Agriculture
"Higher Education, Institution Challenge Grants Program ",5000000,Department of Agriculture
Higher Education: Multicultural Scholars Grant Program ,1000000,Department of Agriculture
Hispanic-Serving Institutions Education Grants ,15000000,Department of Agriculture
Human Health and Soil Health Study,0,Department of Agriculture
"Increasing Land, Capital, and Market Access Program ",284000000,Department of Agriculture
Indemnity Program ,1000000,Department of Agriculture
Indian Tribes and Tribal Corporation Loans,0,Department of Agriculture
Indigenous Animals Harvesting and Meat Processing Grant Program,0,Department of Agriculture
Infation Reduction Act Hazardous Fuels Transportation Assistance ,10000000,Department of Agriculture
Infation Reduction Act Landscape Scale Restoration ,129000000,Department of Agriculture
Infation Reduction Act Urban & Community Forestry Program ,1200000000,Department of Agriculture
"Infation Reduction Act, National Forest System ",105000000,Department of Agriculture
Infation Reduction Act: Forest Legacy Program ,115000000,Department of Agriculture
Infrastructure and Investment Jobs Act Financial Assistance to Facilities that Purchase and Process Byproducts for Ecosystem Restoration ,23000000,Department of Agriculture
Infrastructure Investment and Job Act Joint Fire Science Program (Research & Development) ,35000000,Department of Agriculture
Infrastructure Investment and Jobs Act Capital Maintenance and Improvement ,11000000,Department of Agriculture
Infrastructure Investment and Jobs Act Collaborative Forest Landscape Restoration Program ,7000000,Department of Agriculture
Infrastructure Investment and Jobs Act Community Wildfre Defense Grants ,292000000,Department of Agriculture
Infrastructure Investment and Jobs Act Firewood Bank Program ,3000000,Department of Agriculture
Infrastructure Investment and Jobs Act Prescribed Fire/Fire Recovery ,39000000,Department of Agriculture
Infrastructure Investment and Jobs Act Restoration/Revegetation ,57000000,Department of Agriculture
Infrastructure Investment and Jobs Act Temporary Bridge Program ,8000000,Department of Agriculture
Inspection Grading and Standardization ,500000,Department of Agriculture
Institute of Rural Partnership (GP 780),0,Department of Agriculture
Institute of Rural Partnerships (GP 778) ,6000000,Department of Agriculture
Integrated Programs ,12000000,Department of Agriculture
Intermediary Relending Program ,10000000,Department of Agriculture
International Agricultural Education Fellowship Program,0,Department of Agriculture
International Forestry Programs ,25000000,Department of Agriculture
International Science and Education Grants,0,Department of Agriculture
Lake Tahoe Erosion Control Grant Program ,2000000,Department of Agriculture
Law Enforcement Agreements ,4000000,Department of Agriculture
Laying Hen and Turkey Research Program ,446000,Department of Agriculture
Livestock Forage Disaster Program ,1300000000,Department of Agriculture
"Livestock Indemnity Program, 2014 Farm Bill ",93000000,Department of Agriculture
Local Food for Schools Cooperative Agreement Program ,4000000,Department of Agriculture
Local Meat Capacity Grants,0,Department of Agriculture
Market Access Program ,200000000,Department of Agriculture
Market Facilitation Program,0,Department of Agriculture
Market News ,321000,Department of Agriculture
Market Protection and Promotion ,24000000,Department of Agriculture
Marketing Agreements and Orders ,22000000,Department of Agriculture
Marketing Assistance for Specialty Crops,0,Department of Agriculture
"Meat and Poultry Inspection Readiness Grants, Supplemental Funding",0,Department of Agriculture
Meat and Poultry Intermediary Lending Program,0,Department of Agriculture
Meat and Poultry Processing Expansion Program,0,Department of Agriculture
"Meat, Poultry, and Egg Products Inspection ",19000000,Department of Agriculture
Micro-Grants for Food Security Program ,5000000,Department of Agriculture
Milk Loss Program ,1000000,Department of Agriculture
Minority-Serving Institutions Partnership ,525000,Department of Agriculture
Multi-Family Housing Non-Proft Transfer Technical Assistance Grants ,3000000,Department of Agriculture
National Agricultural Library ,6000000,Department of Agriculture
National Fish and Wildlife Foundation ,200000,Department of Agriculture
National Food Service Management Institute Administration and Staffng Grant ,10000000,Department of Agriculture
National Forest Foundation ,3000000,Department of Agriculture
National School Lunch Program ,17400000000,Department of Agriculture
New Beginning for Tribal Students ,5000000,Department of Agriculture
New Empowering Rural America (New ERA) Program,2000000000,Department of Agriculture
Noninsured Crop Disaster Assistance Program ,167000000,Department of Agriculture
Norman E. Borlaug International Agricultural Science and Technology Fellowship ,1000000,Department of Agriculture
Nutrition Assistance For Puerto Rico ,2900000000,Department of Agriculture
Opal Creek Wilderness Economic Grant Program,0,Department of Agriculture
Open Data Standards ,935000,Department of Agriculture
Organic Agriculture Research and Extension Initiative ,44000000,Department of Agriculture
Organic and Transitional Education and Certifcation Program ,7000,Department of Agriculture
Organic Certifcation Cost Share Programs ,10000000,Department of Agriculture
Organic Dairy Marketing Assistance Program ,23000000,Department of Agriculture
Organic Dairy Product Promotion,0,Department of Agriculture
Organic Market Development Grant (OMDG) Program,75000000,Department of Agriculture
Oriental Fruit Fly Program ,2000,Department of Agriculture
Outreach and Assistance for Socially Disadvantaged and Veteran Farmers and Ranchers ,23000000,Department of Agriculture
Outreach Education and Technical Assistance ,4000000,Department of Agriculture
Outreach Education and Technical Assistance for Disaster Assistance Programs ,4000000,Department of Agriculture
Pandemic Assistance for Cotton Merchandisers (PACM) ,100000000,Department of Agriculture
Pandemic Assistance Revenue Program ,195000000,Department of Agriculture
Pandemic Cover Crop Program,0,Department of Agriculture
Pandemic EBT Administrative Costs ,18000000,Department of Agriculture
Pandemic EBT Food Benefts,0,Department of Agriculture
Pandemic Livestock Indemnity Program ,18000,Department of Agriculture
Pandemic Market Volatility Assistance Program (PMVAP),0,Department of Agriculture
Pandemic Relief Activities: Farm and Food Worker Relief Grant Program,0,Department of Agriculture
"Pandemic Relief Activities: Local Food Purchase Agreements with States, Tribes and Local Governments ",24000000,Department of Agriculture
"Pandemic Relief Activities: Meat and Poultry Processing Capacity, Technical Assistance Grants",0,Department of Agriculture
Part 1774 Special Evaluation Assistance for Rural Communities and Households (SEARCH) ,1000000,Department of Agriculture
Participant Research Innovation Laboratory for Enhancing WIC Services,0,Department of Agriculture
Partnership Agreements ,227000000,Department of Agriculture
Partnerships for Climate-Smart Commodities,0,Department of Agriculture
Payments to 1890 Land Grant Colleges and Tuskegee University ,83000000,Department of Agriculture
Payments to Agricultural Experiment Stations Under the Hatch Act ,247000000,Department of Agriculture
Perishable Agricultural Commodities Act ,11000000,Department of Agriculture
Pima Agriculture Cotton Trust Fund ,16000000,Department of Agriculture
PL-480 Market Development and Technical Assistance,0,Department of Agriculture
"Plant and Animal Disease, Pest Control and Animal Care ",434000000,Department of Agriculture
Plant Materials for Conservation ,12000000,Department of Agriculture
Powering Affordable Clean Energy (PACE) Program ,610000000,Department of Agriculture
Price Loss Coverage ,3000000,Department of Agriculture
Quality Loss Adjustment Program ,8000,Department of Agriculture
Quality Samples Program ,3000000,Department of Agriculture
Reforestation of Non-Federal Mined Land,0,Department of Agriculture
Regional Agricultural Promotion Program ,300000000,Department of Agriculture
Regional Conservation Partnership Program ,296000000,Department of Agriculture
Regional Food Business Centers ,30000000,Department of Agriculture
Regional Food System Partnerships ,4000000,Department of Agriculture
Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers ,4000000,Department of Agriculture
Renewable Resources Extension Act ,4000000,Department of Agriculture
Research Facilities Act Program ,909000,Department of Agriculture
Research Innovation and Development Grants in Economic (RIDGE),0,Department of Agriculture
Research Joint Venture and Cost Reimbursable Agreements ,48000000,Department of Agriculture
"Resident Instruction, Agriculture and Food Science Facilities and Equipment Grants ",2000000,Department of Agriculture
Resilient Food System Infrastructure Program,0,Department of Agriculture
Rice Production Program,0,Department of Agriculture
Risk Management Education Partnerships ,5000000,Department of Agriculture
Rural Broadband Access Loans and Loan Guarantees,0,Department of Agriculture
Rural Business Development Grant ,58000000,Department of Agriculture
Rural Business Investment Program,0,Department of Agriculture
Rural Community Development Initiative ,6000000,Department of Agriculture
Rural Cooperative Development Grants ,6000000,Department of Agriculture
Rural Decentralized Water Systems Grant Program ,14000000,Department of Agriculture
Rural Development Cooperative Agreement Program,0,Department of Agriculture
Rural Development Multi-Family Housing Rural Housing Voucher Program ,43000000,Department of Agriculture
Rural Development Policy Public Service and Leadership Development Program ,1000000,Department of Agriculture
Rural eConnectivity Pilot Program ,829000000,Department of Agriculture
Rural Economic Development Loans and Grants ,65000000,Department of Agriculture
Rural Electrifcation Loans and Loan Guarantees ,7400000000,Department of Agriculture
Rural Energy for America Program ,588000000,Department of Agriculture
Rural Energy Savings Program (RESP) ,107000000,Department of Agriculture
Rural Health and Safety Education Competitive Grants Program ,4000000,Department of Agriculture
Rural Housing Preservation Grants ,10000000,Department of Agriculture
Rural Housing Site Loans and Self Help Housing Land Development Loans ,113000,Department of Agriculture
Rural Innovation Stronger Economy,0,Department of Agriculture
Rural Microentrepreneur Assistance Program ,8000000,Department of Agriculture
Rural Multi-Family Housing Revitalization Demonstration Program ,476000,Department of Agriculture
Rural Rental Assistance Payments ,1600000000,Department of Agriculture
"The White House budget offce said that rental assistance would not be affected, but it did not specify individual programs. Section 538 Rural Rental Housing Guaranteed Loans",400000000,Department of Agriculture
Senior Farmers Market Nutrition Program ,21000000,Department of Agriculture
Sheep Production and Marketing Grant Program ,400000,Department of Agriculture
Small Business Innovation Research (SBIR) Program / Small Business Technology Transfer (STTR) Program ,38000000,Department of Agriculture
Smith-Lever Extension Funding ,316000000,Department of Agriculture
SNAP Fraud Framework Implementation Grant ,5000000,Department of Agriculture
SNAP Partnership Grant,0,Department of Agriculture
SNAP-Ed Toolkit,0,Department of Agriculture
Rural Rental Housing Loans ,19000000,Department of Agriculture
Rural Self-Help Housing Technical Assistance ,25000000,Department of Agriculture
Rural Telecommunications Loans,0,Department of Agriculture
Scholarships for Students at 1890 Institutions ,10000000,Department of Agriculture
School Breakfast Program ,5500000000,Department of Agriculture
School Nutrition Training Grants,0,Department of Agriculture
"Schools and Roads, Grants to Counties ",328000000,Department of Agriculture
"Schools and Roads, Grants to States ",8000000,Department of Agriculture
Scientifc Cooperation and Research ,584000,Department of Agriculture
Scientifc Exchanges Program ,1000000,Department of Agriculture
Seafood Trade Relief Program (STRP),0,Department of Agriculture
"Secondary Education, Two-Year Postsecondary Education, and Agriculture in the K-12 Classroom ",900000,Department of Agriculture
Snow Survey and Water Supply Forecasting ,15000000,Department of Agriculture
Socially Disadvantaged Farmers and Ranchers Policy Research Center ,2000000,Department of Agriculture
Socially-Disadvantaged Groups Grant ,3000000,Department of Agriculture
Soil and Water Conservation ,1700000000,Department of Agriculture
Soil Survey ,90000000,Department of Agriculture
Solid Waste Management Grants ,4000000,Department of Agriculture
Southwest Forest Health and Wildfre Prevention ,7000000,Department of Agriculture
Special Milk Program for Children ,10000000,Department of Agriculture
"Special Supplemental Nutrition Program for Women, Infants and Children  National Workforce Strategy Development ",29000000,Department of Agriculture
"Specialty Crop Block Grant Program, Farm Bill ",73000000,Department of Agriculture
Specialty Crop Research Initiative ,75000000,Department of Agriculture
Spot Market Hog Pandemic Program ,83000,Department of Agriculture
State & Private Forestry Cooperative Fire Assistance ,23000000,Department of Agriculture
State & Private Forestry Hazardous Fuel Reduction Program ,17000000,Department of Agriculture
State Administrative Expenses for Child Nutrition ,474000000,Department of Agriculture
State Administrative Matching Grants for the Supplemental Nutrition Assistance Program ,6600000000,Department of Agriculture
State Agency: Farm to School Program Training and Curricula ,3000000,Department of Agriculture
State Mediation Grants ,7000000,Department of Agriculture
Stewardship Agreements ,99000000,Department of Agriculture
Student Internship Programs ,3000000,Department of Agriculture
Summer Electronic Beneft Transfer Program for Children ,3300000000,Department of Agriculture
Summer Food Service Program for Children ,800000000,Department of Agriculture
Sun Grant Program ,3000000,Department of Agriculture
Supplemental Dairy Margin Coverage ,2000000,Department of Agriculture
Supplemental Nutrition Assistance Program ,94300000000,Department of Agriculture
The White House budget offce said that SNAP food benefts would continue without pause. Technical Assistance for Specialty Crops Program,9000000,Department of Agriculture
Technical Assistance to Cooperatives,0,Department of Agriculture
"Testing, Mitigation and Relief for Agricultural Contamination by Per- and Polyfuoroalkyl Substances",0,Department of Agriculture
The Emergency Food Assistance Program (TEFAP) Commodity Credit Corporation Eligible Recipient Funds ,53000000,Department of Agriculture
The Margin Protection Program,0,Department of Agriculture
Timber Production Expansion Guaranteed Loans,0,Department of Agriculture
Transitional and Organic Grower Assistance Program,0,Department of Agriculture
Transportation Services ,208000,Department of Agriculture
Tree Assistance Program ,22000000,Department of Agriculture
Tribal Agriculture Technical Assistance ,3000000,Department of Agriculture
Tribal Colleges Education Equity Grants ,7000000,Department of Agriculture
Tribal Colleges Endowment Program ,5000000,Department of Agriculture
Tribal Colleges Extension Programs ,11000000,Department of Agriculture
Tribal Food Sovereignty ,1000000,Department of Agriculture
Supplemental Nutrition Assistance Program (SNAP) Employment and Training (E&T) Data and Technical Assistance Grants,0,Department of Agriculture
"Supplemental Nutrition Assistance Program, Process and Technology Improvement Grants ",5000000,Department of Agriculture
Sustainable Agriculture Research and Education ,45000000,Department of Agriculture
Team Nutrition Grants ,9000000,Department of Agriculture
Technical Agricultural Assistance ,13000000,Department of Agriculture
Tribal Youth & Workforce Development ,1000000,Department of Agriculture
U.S. Codex Offce Support for International Activities ,2000000,Department of Agriculture
Urban Agriculture and Innovative Production Grants Program (UAIP) ,5000000,Department of Agriculture
"Urban Agriculture and Urban County Committee Outreach, Technical Assistance and Education",0,Department of Agriculture
Urban and Community Forestry Program ,14000000,Department of Agriculture
"Urban, Indoor and Other Emerging Agricultural Production Research, Education, and Extension Initiative ",2000000,Department of Agriculture
USDA Local and Regional Food Aid Procurement Program,0,Department of Agriculture
USDA WIC Telehealth Evaluation Collaborative ,3000000,Department of Agriculture
Value-Added Producer Grants ,32000000,Department of Agriculture
Very Low to Moderate Income Housing Loans and Loan Guarantees ,7200000000,Department of Agriculture
Very Low-Income Housing Repair Loans and Grants ,41000000,Department of Agriculture
Veterinary Medicine Loan Repayment Program ,9000000,Department of Agriculture
Veterinary Services Grant Program ,4000000,Department of Agriculture
Voluntary Public Access and Habitat Incentive Program ,9000000,Department of Agriculture
Water and Waste Disposal Systems for Rural Communities ,1800000000,Department of Agriculture
Water and Waste Grants and Loans and Loan Guarantees (Section 306C) ,31000000,Department of Agriculture
Water and Waste Technical Assistance and Training Grants ,50000000,Department of Agriculture
Water Bank Program ,2000000,Department of Agriculture
Water-Saving Commodities Grant,0,Department of Agriculture
Watershed Protection and Flood Prevention ,277000000,Department of Agriculture
Watershed Rehabilitation Program ,20000000,Department of Agriculture
Watershed Restoration and Enhancement Agreement Authority ,2000000,Department of Agriculture
Wetland Mitigation Banking Program ,5000000,Department of Agriculture
Wetlands Reserve Program ,5000000,Department of Agriculture
Wholesale Farmers and Alternative Market Development ,1000000,Department of Agriculture
WIC Farmers Market Nutrition Program (FMNP) ,29000000,Department of Agriculture
WIC Grants To States (WGS) ,105000000,Department of Agriculture
"WIC Special Supplemental Nutrition Program for Women, Infants and Children ",7800000000,Department of Agriculture
"Offces that provide nutrition assistance to poor mothers and young children asked the Trump administration for clarity on whether the program was funded Tuesday. Because providers are paid quarterly, they do not know whether their funding is at risk. Wildfre Crisis Strategy Landscapes",211000000,Department of Agriculture
Wildfres and Hurricanes Indemnity Program Plus,0,Department of Agriculture
Wildlife Habitat Incentive Program ,72000,Department of Agriculture
Wildlife Services ,20000000,Department of Agriculture
"Women and Minorities in Science, Technology, Engineering and Mathematics Fields ",2000000,Department of Agriculture
Wood Education and Resource Center (WERC) ,2000000,Department of Agriculture
Wood Utilization Assistance ,31000000,Department of Agriculture
2023 MBDA Capital Readiness Program,0,Department of Commerce
Applied Meteorological Research ,596000,Department of Commerce
Arrangements for Interdisciplinary Research Infrastructure ,172000000,Department of Commerce
Atlantic Coastal Fisheries Cooperative Management Act ,6000000,Department of Commerce
Bipartisan Budget Act of 2018,0,Department of Commerce
Broad Agency Announcement ,5000000,Department of Commerce
"Broadband Equity, Access, and Deployment Program ",24400000000,Department of Commerce
Broadband Infrastructure Program,0,Department of Commerce
Build to Scale ,400000,Department of Commerce
Calibration Program ,7000000,Department of Commerce
Center for Sponsored Coastal Ocean Research Coastal Ocean Program ,23000000,Department of Commerce
Chesapeake Bay Studies ,2000000,Department of Commerce
CHIPS Incentives Program ,721000000,Department of Commerce
CHIPS Research and Development ,11000000,Department of Commerce
Climate and Atmospheric Research ,63000000,Department of Commerce
Coastal Zone Management Administration Awards ,86000000,Department of Commerce
Coastal Zone Management Estuarine Research Reserves ,37000000,Department of Commerce
Columbia River Fisheries Development Program ,90000000,Department of Commerce
Congressionally Identifed Awards and Projects ,25000000,Department of Commerce
Congressionally-Identifed Projects ,297000000,Department of Commerce
Connecting Minority Communities Pilot Program,0,Department of Commerce
Cooperative Fishery Statistics ,14000000,Department of Commerce
Cooperative Institute (Inter-Agency Funded Activities) ,49000000,Department of Commerce
